587,859,1.0
791,875,1.0
298,692,18.0
345,959,81.0
274,170,3.0
494,318,1.0
174,360,1.0
135,1269,15.0
199,842,64.0
757,901,11.0
681,142,1.0
366,153,9.0
361,541,3.0
427,1107,1.0
690,34,2.0
750,1026,2.0
23,946,1.0
912,1376,3.0
246,324,4.0
535,1143,6.0
557,331,1.0
774,771,172.0
750,787,3.0
22,960,2.0
17,1198,1.0
398,776,4.0
24,145,15.0
999,1263,1.0
762,376,1.0
950,672,1.0
60,1292,1.0
199,406,1.0
319,587,18.0
747,695,2.0
359,946,24.0
124,95,8.0
114,1335,5.0
74,960,1.0
867,1046,40.0
705,1139,4.0
973,621,2.0
192,169,1.0
900,398,1.0
499,633,1.0
83,1027,12.0
238,1149,14.0
438,629,2.0
810,128,14.0
926,472,1.0
522,825,11.0
238,767,4.0
603,101,5.0
892,118,1.0
331,177,2.0
135,199,3.0
429,304,1.0
31,725,2.0
822,944,1.0
869,1204,1.0
310,455,1.0
427,968,1.0
793,348,1.0
858,1318,1.0
681,146,10.0
518,169,3.0
774,212,1.0
232,1317,1.0
830,21,3.0
212,86,1.0
915,691,1.0
78,948,5.0
394,547,1.0
500,329,4.0
414,436,1.0
